id,identity_key,ip,location,lat,lon,country,iso3,version
2177,7vdZAMLWF1yQj1QEoXtMUzM5XwHQp7XR2SwMnQuj5Yax,45.63.116.166:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2181,9XgQHbHMfkQ6cJvUUPmA6NmfH4fuYcM9ZGBzbBfMJ1X5,142.93.226.165:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2191,BrV67Rp6hDkzuEQXABvmxBbq3yZPDBRXiesXXHVUP9Td,143.198.231.204:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2195,5XSo7bG7VQuo2DW3QqNB5ojCsdKYjpEnvBZ9e4LHPFcK,[2a01:4f8:c17:d55a::16]:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
2198,CxERH9Y3K6vHCY2itwPw6vpQF29pcGf6SJwmPy5G6eyt,46.101.49.16:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2200,6jKvF5f2iSCVoX8wxDN7NmrrNFnJ4ZeRef7TDMmNHSWv,64.227.71.138:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2201,APbLgEmVTsE3PzprE513om5kva91FyZvqZXMdVvEjXzx,167.99.215.107:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2202,3wbvb6snDfXscqNLVAoquEhHPiHvPyJMHEcw8VEnuXz1,134.122.66.134:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2204,qZWE8VRivnPmhzcJVMoieZMcD5z5P5DUo77aeg1yYgr,45.14.50.3:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2207,3WanJqtBU8tnxzkfY9Wa5r2opQdS6tUvx56m4Qg2hw8L,159.65.27.24:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2208,HwQCXQdHbtLzAngFpC5Ao8AszQhCAxBADabCyCJGjKLE,136.244.100.195:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2210,E8toKdjyQpf4riTgGewkhtFbqbpBGhggUv21ELeJ3BNm,161.35.94.47:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2214,33MhgGowSKnavKvJ3GfCdcsXqzEJJcQm2CuquDdbFLsQ,161.97.159.29:1789,Munich,48.1372,11.5755,Germany,DEU,0.10.1
2215,G91q1HXr5DVvhS7ZyTvT2dhkbyyfrXQ6FPEBroegJKYX,[2a01:4f9:c010:8ef8::7]:1789,Berlin,52.5167,13.3833,Germany,DEU,0.10.1
2216,5FtKZ4gjxPBmvBMcuKDNmtvMGbHYMnUgyZ9tV2KudBdo,138.201.156.198:1789,Falkenstein,50.4667,12.3667,Germany,DEU,0.10.1
2221,Dau6tEAuqF5wc3n2neQmZArjRpk9o48GaNLNexdewDSc,188.166.44.138:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2222,21hyNx8TdXDLJLvRM4X82CS2SBpAmHKBZYP2zQ2BV88c,159.65.124.122:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2224,6gKvMMjvG8FYjEr9che2Lcgd4ksgJGhRaSkEEWxHcJUQ,167.71.71.205:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2230,8o2nN88DmsVYr1giyc9V9pyHixAhyiXRcYhQVfEBJf2m,167.71.14.55:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2231,DPzY5ECwSfJGH4JFmJr8rUkuAeML7txgm213MTt2Esu9,188.40.243.147:1789,Berlin,52.5167,13.3833,Germany,DEU,0.10.1
2235,CMutCuUENU9N92Xkjs3WJF6hrcypFWSXUBDPoExhow5M,5.188.93.69:1789,Paris,48.8566,2.3522,France,FRA,0.10.1
2241,DaNpVEJjkRTwonS1VvCYPPyz2y9LCP7UqXu7QNxK79hC,217.69.0.34:1789,Paris,48.8566,2.3522,France,FRA,0.10.1
2242,6hvUnV8DqMBiVvfBxHUY59QVqrCTr57WNKFPiUYxG7Tt,188.166.39.221:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2249,8gf4SLyy6WG91VEJQ2PuhN2PdndB94XGKeG93zitEphq,206.189.13.35:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2250,6bRxYJ9o7evWcJsVc53HEjVtCQao41GwARAyLT4juM67,140.83.60.1:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2251,ACpjCR5PbJovZWPFMrGow1XTJkFpdEQs5rRRcoxh8Fek,64.227.78.167:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2254,J52opweSZjqeBfunvHThnyD9spg8b7oKPjWxUHbxTNNS,188.166.110.117:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2259,8FeF6ve5NohupxMWEbyAKL23cb8zk4ykBcDHgMaheMRL,[2a01:4f8:c2c:5bb2::19]:1789,Barcelona,41.3825,2.1769,Spain,ESP,0.10.1
2260,74c78HSsPysjPPQzwAnEskTVvFkKXRarJNr1SK2DDZaV,206.189.4.245:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2266,BP9NSDkpok4o155J3PAtEAPjRYRmyniGcGozcQctBXiS,178.128.199.227:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2271,DRzEegqomTU6F2KN2KhJCvAr4noGNpMdH86Tyk4Xn32e,[2a01:4f9:c011:3c18::8]:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2272,Gmg8sUvFr5aWdrGHxpDzdA2G8jPzVYTJzgXk2oLXYKpw,139.59.164.71:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2277,AAaVmTiDUhZsDGZFRyz3iPuHSjUTBnpPizCniPd5Msf,136.244.90.225:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2278,2mvH4BEWynfHBF5Bp9mSHYQRm1Y4CCNWb9pS7ejSGfh9,136.244.95.52:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2283,7vNYVkNY2eqtmfEQGaur9aLGWVRwvt5G7uB5jntVyBtK,178.62.244.122:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2286,Ha8kBfxs2Fgg9LwVYFacnktmmoR5av1NqimJvs69dpsY,142.93.173.30:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2287,8yRjW7ekq7WpLwoSPfhCWnLZ1pPLECyUuMhMBNnD7cww,159.65.87.166:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2289,CNENkuaJFR4mohuGdzp1ySqC4Nw4Wt5Ukg7xmVwf6Gvi,188.72.203.34:1789,Haarlem,52.3804,4.63,Netherlands,NLD,0.10.1
2290,7115AUEanJBGkSUWb6L7DrwPFpG3wTX3wECGnX5oMxGD,178.62.227.156:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2299,7VdMLXkXii1D4eqUJa2N5Tstj1xVqNrTbtPDQgLf2N4Z,168.119.120.33:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
2301,7Rbz4zZTGWw62aAyQcveddB38B3f96d1Fr4He1CUb4Pe,178.18.253.34:1789,Munich,48.1372,11.5755,Germany,DEU,0.10.1
2307,6ZTgoQ45q87b2cEJqWAHWE3jgdCdVDD8k3hGMuwfnbki,108.61.198.80:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2308,3HtKc5oRxQwV4YETwXe1HeGoJUM8Xg2DwFyCn4ZAPrjt,188.166.1.132:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2311,EzoFJZbNEUR7rVW5TwkAQMRaMo6puKL7Uw55QGaW5YEj,45.63.43.214:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
